latitude wgs84,longitude wgs84,site,water body,uom,quantity,quantity type,collection method,author,series id,url json,url csv
46.174083,11.829937,Fiera di Primiero,torrente Cismon,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18706,https://www.floods.it/api/v1/monitoring/18706.json,https://www.floods.it/api/v1/monitoring/18706.csv
46.015172,11.636802,Grigno Paese,torrente Grigno,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,30423,https://www.floods.it/api/v1/monitoring/30423.json,https://www.floods.it/api/v1/monitoring/30423.csv
46.015194,11.636856,Grigno Paese,torrente Grigno,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,38566,https://www.floods.it/api/v1/monitoring/38566.json,https://www.floods.it/api/v1/monitoring/38566.csv
46.004383,11.644417,Grigno Ponte Filippini,fiume Brenta,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11766,https://www.floods.it/api/v1/monitoring/11766.json,https://www.floods.it/api/v1/monitoring/11766.csv
46.004275,11.644513,Grigno Ponte Filippini,fiume Brenta,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18705,https://www.floods.it/api/v1/monitoring/18705.json,https://www.floods.it/api/v1/monitoring/18705.csv
46.138302,11.118571,Lavis,torrente Avisio,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11694,https://www.floods.it/api/v1/monitoring/11694.json,https://www.floods.it/api/v1/monitoring/11694.csv
46.13811,11.118599,Lavis,torrente Avisio,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18714,https://www.floods.it/api/v1/monitoring/18714.json,https://www.floods.it/api/v1/monitoring/18714.csv
46.004124,11.295926,Levico Brentella,brentella di Levico,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,30749,https://www.floods.it/api/v1/monitoring/30749.json,https://www.floods.it/api/v1/monitoring/30749.csv
46.004167,11.295833,Levico Brentella,brentella di Levico,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,38568,https://www.floods.it/api/v1/monitoring/38568.json,https://www.floods.it/api/v1/monitoring/38568.csv
46.003333,11.318063,Levico Ponte Cervia,fiume Brenta,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11762,https://www.floods.it/api/v1/monitoring/11762.json,https://www.floods.it/api/v1/monitoring/11762.csv
46.003337,11.317894,Levico Ponte Cervia,fiume Brenta,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18703,https://www.floods.it/api/v1/monitoring/18703.json,https://www.floods.it/api/v1/monitoring/18703.csv
46.347216,10.913804,Malé,fiume Noce,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11732,https://www.floods.it/api/v1/monitoring/11732.json,https://www.floods.it/api/v1/monitoring/11732.csv
46.347113,10.913822,Malé,fiume Noce,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18711,https://www.floods.it/api/v1/monitoring/18711.json,https://www.floods.it/api/v1/monitoring/18711.csv
45.83906,11.000874,Marco,fiume Adige,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,12323,https://www.floods.it/api/v1/monitoring/12323.json,https://www.floods.it/api/v1/monitoring/12323.csv
45.83906,11.000874,Marco,fiume Adige,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18721,https://www.floods.it/api/v1/monitoring/18721.json,https://www.floods.it/api/v1/monitoring/18721.csv
46.237739,11.054875,Maso Milano,torrente Sporeggio,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,30718,https://www.floods.it/api/v1/monitoring/30718.json,https://www.floods.it/api/v1/monitoring/30718.csv
46.237674,11.054696,Maso Milano,torrente Sporeggio,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,38567,https://www.floods.it/api/v1/monitoring/38567.json,https://www.floods.it/api/v1/monitoring/38567.csv
46.009636,11.122894,Mattarello,fiume Adige,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,49050,https://www.floods.it/api/v1/monitoring/49050.json,https://www.floods.it/api/v1/monitoring/49050.csv
46.193669,11.103355,Mezzolombardo Ponte Rupe,fiume Noce,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11691,https://www.floods.it/api/v1/monitoring/11691.json,https://www.floods.it/api/v1/monitoring/11691.csv
46.193669,11.103355,Mezzolombardo Ponte Rupe,fiume Noce,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18712,https://www.floods.it/api/v1/monitoring/18712.json,https://www.floods.it/api/v1/monitoring/18712.csv
46.374966,11.668345,Moena,rio San Pellegrino,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,28938,https://www.floods.it/api/v1/monitoring/28938.json,https://www.floods.it/api/v1/monitoring/28938.csv
46.271148,11.423078,Molina di Fiemme,torrente Avisio,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,30420,https://www.floods.it/api/v1/monitoring/30420.json,https://www.floods.it/api/v1/monitoring/30420.csv
46.039912,11.548351,Ospedaletto,fiume Brenta,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,31936,https://www.floods.it/api/v1/monitoring/31936.json,https://www.floods.it/api/v1/monitoring/31936.csv
46.031111,11.543333,Ospedaletto,fiume Brenta,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42434,https://www.floods.it/api/v1/monitoring/42434.json,https://www.floods.it/api/v1/monitoring/42434.csv
46.35354,10.688683,Peio Cogolo,fiume Noce,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,30752,https://www.floods.it/api/v1/monitoring/30752.json,https://www.floods.it/api/v1/monitoring/30752.csv
46.353611,10.688611,Peio Cogolo,fiume Noce,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42997,https://www.floods.it/api/v1/monitoring/42997.json,https://www.floods.it/api/v1/monitoring/42997.csv
46.311196,10.76177,Pellizzano,fiume Noce,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11773,https://www.floods.it/api/v1/monitoring/11773.json,https://www.floods.it/api/v1/monitoring/11773.csv
46.31113,10.761779,Pellizzano,fiume Noce,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18710,https://www.floods.it/api/v1/monitoring/18710.json,https://www.floods.it/api/v1/monitoring/18710.csv
45.945539,10.644934,Pieve di Bono,torrente Adanà,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,31933,https://www.floods.it/api/v1/monitoring/31933.json,https://www.floods.it/api/v1/monitoring/31933.csv
45.945556,10.645,Pieve di Bono,torrente Adanà,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42435,https://www.floods.it/api/v1/monitoring/42435.json,https://www.floods.it/api/v1/monitoring/42435.csv
